year,stateId,name,ev,c1,c2,c1Id,c1name,c1party,c2Id,c2name,c2party
2004,,CANDIDATES,,,,5,George W. Bush,republican,6,John Kerry,democrat
2004,1,Alabama,9,9,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,2,Alaska,3,3,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,3,Arizona,10,10,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,4,Arkansas,6,6,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,5,California,55,-,55,5,George W. Bush,republican,6,John Kerry,democrat
2004,6,Colorado,9,9,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,7,Connecticut,7,-,7,5,George W. Bush,republican,6,John Kerry,democrat
2004,8,Delaware,3,-,3,5,George W. Bush,republican,6,John Kerry,democrat
2004,9,D. C.,3,-,3,5,George W. Bush,republican,6,John Kerry,democrat
2004,10,Florida,27,27,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,11,Georgia,15,15,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,12,Hawaii,4,-,4,5,George W. Bush,republican,6,John Kerry,democrat
2004,13,Idaho,4,4,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,14,Illinois,21,-,21,5,George W. Bush,republican,6,John Kerry,democrat
2004,15,Indiana,11,11,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,16,Iowa,7,7,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,17,Kansas,6,6,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,18,Kentucky,8,8,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,19,Louisiana,9,9,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,20,Maine,4,-,4,5,George W. Bush,republican,6,John Kerry,democrat
2004,21,Maryland,10,-,10,5,George W. Bush,republican,6,John Kerry,democrat
2004,22,Massachusetts,12,-,12,5,George W. Bush,republican,6,John Kerry,democrat
2004,23,Michigan,17,-,17,5,George W. Bush,republican,6,John Kerry,democrat
2004,24,Minnesota,10,-,9,5,George W. Bush,republican,6,John Kerry,democrat
2004,25,Mississippi,6,6,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,26,Missouri,11,11,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,27,Montana,3,3,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,28,Nebraska,5,5,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,29,Nevada,5,5,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,30,New Hampshire,4,-,4,5,George W. Bush,republican,6,John Kerry,democrat
2004,31,New Jersey,15,-,15,5,George W. Bush,republican,6,John Kerry,democrat
2004,32,New Mexico,5,5,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,33,New York,31,-,31,5,George W. Bush,republican,6,John Kerry,democrat
2004,34,North Carolina,15,15,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,35,North Dakota,3,3,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,36,Ohio,20,20,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,37,Oklahoma,7,7,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,38,Oregon,7,-,7,5,George W. Bush,republican,6,John Kerry,democrat
2004,39,Pennsylvania,21,-,21,5,George W. Bush,republican,6,John Kerry,democrat
2004,40,Rhode Island,4,-,4,5,George W. Bush,republican,6,John Kerry,democrat
2004,41,South Carolina,8,8,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,42,South Dakota,3,3,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,43,Tennessee,11,11,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,44,Texas,34,34,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,45,Utah,5,5,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,46,Vermont,3,-,3,5,George W. Bush,republican,6,John Kerry,democrat
2004,47,Virginia,13,13,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,48,Washington,11,-,11,5,George W. Bush,republican,6,John Kerry,democrat
2004,49,West Virginia,5,5,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,50,Wisconsin,10,-,10,5,George W. Bush,republican,6,John Kerry,democrat
2004,51,Wyoming,3,3,-,5,George W. Bush,republican,6,John Kerry,democrat
2004,,Total,538,286,251,5,George W. Bush,republican,6,John Kerry,democrat
