year,stateId,name,ev,c1,c2,c1Id,c1name,c1party,c2Id,c2name,c2party
1964,,CANDIDATES,,,,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,1,Alabama,10,-,10,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,2,Alaska,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,3,Arizona,5,-,5,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,4,Arkansas,6,6,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,5,California,40,40,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,6,Colorado,6,6,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,7,Connecticut,8,8,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,8,Delaware,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,9,D. C.,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,10,Florida,14,14,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,11,Georgia,12,-,12,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,12,Hawaii,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,13,Idaho,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,14,Illinois,26,26,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,15,Indiana,13,13,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,16,Iowa,9,9,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,17,Kansas,7,7,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,18,Kentucky,9,9,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,19,Louisiana,10,-,10,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,20,Maine,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,21,Maryland,10,10,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,22,Massachusetts,14,14,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,23,Michigan,21,21,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,24,Minnesota,10,10,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,25,Mississippi,7,-,7,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,26,Missouri,12,12,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,27,Montana,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,28,Nebraska,5,5,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,29,Nevada,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,30,New Hampshire,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,31,New Jersey,17,17,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,32,New Mexico,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,33,New York,43,43,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,34,North Carolina,13,13,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,35,North Dakota,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,36,Ohio,26,26,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,37,Oklahoma,8,8,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,38,Oregon,6,6,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,39,Pennsylvania,29,29,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,40,Rhode Island,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,41,South Carolina,8,-,8,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,42,South Dakota,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,43,Tennessee,11,11,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,44,Texas,25,25,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,45,Utah,4,4,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,46,Vermont,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,47,Virginia,12,12,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,48,Washington,9,9,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,49,West Virginia,7,7,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,50,Wisconsin,12,12,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,51,Wyoming,3,3,-,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
1964,,Total,538,486,52,7,Lyndon Johnson,democrat,8,Barry Goldwater,republican
